business_id,date,violation_type_id,risk_category,description
10,2014-07-29,103129,Moderate Risk,Insufficient hot water or running water
10,2014-07-29,103144,Low Risk,Unapproved or unmaintained equipment or utensils
10,2014-01-14,103119,Moderate Risk,Inadequate and inaccessible handwashing facilities
10,2014-01-14,103145,Low Risk,Improper storage of equipment utensils or linens
10,2014-01-14,103154,Low Risk,Unclean or degraded floors walls or ceilings
10,2016-05-03,103114,High Risk,High risk vermin infestation
10,2016-05-03,103103,High Risk,High risk food holding temperature
10,2016-05-03,103144,Low Risk,Unapproved or unmaintained equipment or utensils
10,2016-05-03,103103,High Risk,High risk food holding temperature
10,2016-05-03,103148,Low Risk,No thermometers or uncalibrated thermometers
24,2014-06-12,103145,Low Risk,Improper storage of equipment utensils or linens
24,2014-06-12,103156,Low Risk,Permit license or inspection report not posted
24,2014-11-24,103119,Moderate Risk,Inadequate and inaccessible handwashing facilities
24,2016-03-11,103154,Low Risk,Unclean or degraded floors walls or ceilings
24,2016-03-11,103154,Low Risk,Unclean or degraded floors walls or ceilings
31,2016-08-16,103145,Low Risk,Improper storage of equipment utensils or linens
31,2016-08-16,103156,Low Risk,Permit license or inspection report not posted
31,2016-08-16,103139,Low Risk,Improper food storage
31,2016-08-16,103138,Low Risk,Improper storage use or identification of toxic substances
31,2016-08-16,103119,Moderate Risk,Inadequate and inaccessible handwashing facilities
31,2016-08-16,103116,Moderate Risk,Inadequate food safety knowledge or lack of certified food safety manager
31,2015-12-04,103157,Low Risk,Food safety certificate or food handler card not available
45,2014-09-09,103145,Low Risk,Improper storage of equipment utensils or linens
45,2014-09-09,103149,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer
45,2014-09-09,103154,Low Risk,Unclean or degraded floors walls or ceilings
45,2016-01-04,103154,Low Risk,Unclean or degraded floors walls or ceilings
45,2016-01-04,103144,Low Risk,Unapproved or unmaintained equipment or utensils
45,2016-01-04,103142,Low Risk,Unclean nonfood contact surfaces
45,2016-01-04,103124,Moderate Risk,Inadequately cleaned or sanitized food contact surfaces
45,2016-01-04,103119,Moderate Risk,Inadequate and inaccessible handwashing facilities
45,2016-01-04,103118,Moderate Risk,Employee eating or smoking
45,2016-01-04,103116,Moderate Risk,Inadequate food safety knowledge or lack of certified food safety manager
45,2013-12-09,103157,Low Risk,Food safety certificate or food handler card not available
45,2013-12-09,103120,Moderate Risk,Moderate risk food holding temperature
45,2016-06-14,103144,Low Risk,Unapproved or unmaintained equipment or utensils
45,2016-06-14,103133,Moderate Risk,Foods not protected from contamination
45,2016-06-14,103154,Low Risk,Unclean or degraded floors walls or ceilings
45,2016-06-14,103131,Moderate Risk,Moderate risk vermin infestation
45,2016-06-14,103116,Moderate Risk,Inadequate food safety knowledge or lack of certified food safety manager
48,2013-11-01,103149,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer
48,2013-11-01,103138,Low Risk,Improper storage use or identification of toxic substances
48,2013-11-01,103116,Moderate Risk,Inadequate food safety knowledge or lack of certified food safety manager
48,2013-11-01,103142,Low Risk,Unclean nonfood contact surfaces
48,2014-05-23,103142,Low Risk,Unclean nonfood contact surfaces
48,2014-05-23,103133,Moderate Risk,Foods not protected from contamination
48,2014-05-23,103161,Low Risk,Low risk vermin infestation
54,2013-10-08,103120,Moderate Risk,Moderate risk food holding temperature
54,2014-03-25,103130,Moderate Risk,Inadequate sewage or wastewater disposal
54,2014-03-25,103120,Moderate Risk,Moderate risk food holding temperature
56,2016-08-02,103154,Low Risk,Unclean or degraded floors walls or ceilings
56,2016-08-02,103119,Moderate Risk,Inadequate and inaccessible handwashing facilities
56,2016-08-02,103144,Low Risk,Unapproved or unmaintained equipment or utensils
56,2016-08-02,103149,Low Risk,Wiping cloths not clean or properly stored or inadequate sanitizer
56,2014-11-17,103156,Low Risk,Permit license or inspection report not posted
